Rk,Team,Conf,W-L,BPI Off,BPI Def,BPI,Year
188,South Dakota St.,Summit,18-17,3.1,-4.1,-1,2017
189,East Carolina,American,15-18,-4.4,3.3,-1,2017
190,Wyoming,MW,23-15,-1.6,0.5,-1.1,2017
191,LSU,SEC,21-Oct,2.1,-3.2,-1.1,2017
192,Indiana St.,MVC,20-Nov,-2.5,1.4,-1.2,2017
193,UMBC,Am. East,21-13,2.6,-3.9,-1.3,2017
194,Montana,Big Sky,16-16,0.8,-2.1,-1.3,2017
195,Utah Valley,WAC,17-17,-3.3,2,-1.4,2017
196,Morehead St.,Ohio Valley E,14-16,0.5,-2,-1.5,2017
197,Murray St.,Ohio Valley W,16-17,1.6,-3.1,-1.5,2017
198,Central Michigan,MAC W,16-16,4.6,-6.2,-1.6,2017
199,IUPUI,Summit,14-18,1,-2.6,-1.6,2017
200,Northern Illinois,MAC W,15-17,-3,1.4,-1.6,2017
201,Fairfield,MAAC,16-15,-2.6,0.9,-1.7,2017
202,Portland St.,Big Sky,15-16,1.9,-3.7,-1.8,2017
203,Grand Canyon,WAC,22-9,-1.5,-0.3,-1.9,2017
204,Denver,Summit,16-14,1.2,-3.1,-1.9,2017
205,Mount St. Mary's,NEC,20-16,-3.3,1.4,-1.9,2017
206,Liberty,Big South,21-14,-2.9,1,-1.9,2017
207,Stony Brook,Am. East,18-14,-1.6,-0.4,-1.9,2017
208,Long Beach St.,Big West,15-19,0.5,-2.5,-2,2017
209,Idaho,Big Sky,19-14,-1.2,-0.9,-2.1,2017
210,Rider,MAAC,18-15,-2.5,0.4,-2.1,2017
211,New Orleans,Southland,20-12,-2.7,0.3,-2.4,2017
212,Columbia,Ivy,16-Nov,-1.8,-0.5,-2.4,2017
